index,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group,med_spread_1,med_spread_2,med_spread_3,med_spread_4
148,2018-06-01,22242.0,19.09,39.6032,0.209975572965,,570.074738,NYSE,Insurance,0.4694565,0.288066875,0.153103666667,0.0947863333333
149,2018-06-01,1492924.0,13.36,18.6624,0.244210444252,2623.31,2264.4320465,NASDAQ,Insurance,0.01157775,0.01,0.01,0.01
150,2018-06-01,13091.0,24.1,18.88,-0.110828924182,,687.1557725,NYSE,Insurance,0.560315666667,0.497471125,0.155326666667,0.169599875
151,2018-06-01,10510.0,24.66,20.0384,0.136528671504,,309.6781755,NYSE,Insurance,0.510506125,0.262984125,0.144596777778,0.169850777778
152,2018-06-01,67384.0,16.58,8.4416,0.0246897171258,258.2,735.5416305,NYSE,,0.064320125,0.023030125,0.0182295555556,0.0183557777778
153,2018-06-01,4555.0,16.8452,10.2016,0.145601191341,9.36,519.645701,ARCA,,0.061213125,0.0452545,0.0385285555556,0.0309361111111
154,2018-06-01,514281.0,63.6,23.9936,0.973937740593,5058.73,210.468213,NYSE,Machinery-Diversified,0.190008375,0.099081625,0.0387074444444,0.0164873333333
155,2018-06-01,83957.0,5.68,12.3904,0.269277262243,155.45,1909.368758,NYSE,,0.016888125,0.0140465,0.01,0.0111111111111
156,2018-06-01,17778.0,10.55,11.1936,0.231310881996,132.4,531.728682,NYSE,,0.069963625,0.04942875,0.0216294444444,0.0209367777778
157,2018-06-01,778625.0,3.35,55.4944,0.987350678698,348.4,2571.27154,NASDAQ,Biotechnology,0.01,0.01,0.01,0.01
158,2018-06-01,82356.0,7.07,33.7792,0.484311333128,356.54,423.363016,NASDAQ,Chemicals,0.066536125,0.0354195,0.0195318888889,0.0159804444444
159,2018-06-01,,8.96,43.744,-0.00144022948844,0.92,,ARCA,,,,,
160,2018-06-01,5033.5,18.72,4.6144,-0.0347303978598,52.42,2202.33539775,ARCA,,0.101187125,0.03620125,0.0282225,0.023154375
161,2018-06-01,54288.0,19.22,4.608,0.00604521288728,338.27,824.282115,ARCA,,0.107733125,0.042715375,0.0221843333333,0.0159772222222
162,2018-06-01,2146827.0,106.46,2.112,-0.066430610158,55529.54,3850.3956445,ARCA,,0.01,0.01,0.01,0.01
