index,symbol,trade_date,volume,price,volatility,spx_beta,market_cap,avg_market_size,primary_route,industry_group
110,AEL US,2019-01-02,449647.0,27.94,40.9472,1.25898905505,2524.19,169.3778225,NYSE,Insurance
111,AEMD US,2019-01-02,127702.0,1.66,104.9792,0.307750652655,30.5,2468.8074545,NASDAQ,Healthcare-Products
112,AEM US,2019-01-02,1892558.0,40.4,35.4432,0.0565442762046,9478.1,541.795097,NYSE,Mining
113,AEO US,2019-01-02,3959072.0,19.33,47.5072,0.940070481884,3410.43,568.5882055,NYSE,Retail
114,AEP US,2019-01-02,1757633.0,74.74,21.7024,0.35920219167,36854.95,193.4545855,NYSE,Electric
115,AERI US,2019-01-02,478629.0,36.1,58.7584,0.948571968469,1640.88,163.0948225,NASDAQ,Pharmaceuticals
116,AER US,2019-01-02,1417322.0,39.6,32.9728,1.01815578432,5819.66,205.501493,NYSE,Trucking&Leasing
117,AES US,2019-01-02,6386893.0,14.46,27.04,0.649016353531,9576.82,2916.1765125,NYSE,Electric
118,AETI US,2019-01-02,413375.0,0.8588,158.9504,0.428046254959,7.79,1343.867781,NASDAQ,Engineering&Construction
119,AE US,2019-01-02,5343.0,38.71,73.6384,-0.19857200609,163.26,175.124248,AMEX,Oil&Gas
120,AEYE US,2019-01-02,25068.0,8.55,104.384,0.184184754134,64.54,677.7330245,NASDAQ,Internet
121,AEY US,2019-01-02,12375.0,1.4,61.5936,-0.0302204733636,14.43,950.894435,NASDAQ,Telecommunications
122,AEZS US,2019-01-02,166724.0,2.94,88.4608,0.765418853443,48.34,1075.5842345,NASDAQ,Biotechnology
123,AFB US,2019-01-02,129974.0,12.13,9.6512,-0.0461927619792,348.68,799.9251135,NYSE,
124,AFG US,2019-01-02,245349.0,90.53,24.6528,0.776396460227,8080.09,131.1211045,NYSE,Insurance
125,AFH US,2019-01-02,23559.0,8.09,78.6752,-0.481208113373,96.57,280.209339,NASDAQ,Insurance
126,AFIF US,2019-01-02,25043.0,9.905,17.408,-0.00600319119138,49.03,389.7990825,BATS,
127,AFIN US,2019-01-02,450422.0,13.32,54.6752,0.142691291755,1764.84,468.792735,NASDAQ,REITS
128,AFI US,2019-01-02,88384.0,11.84,42.4768,0.963288862016,305.8,196.6136845,NYSE,Building Materials
129,AFK US,2019-01-02,12347.0,19.66,26.3616,0.214564106483,54.06,532.1857625,ARCA,
130,AFL US,2019-01-02,3252810.0,45.56,23.616,0.828575467751,34683.89,341.0892645,NYSE,Insurance
131,AFMD US,2019-01-02,728369.0,3.11,91.3408,1.60090561725,194.15,1573.522855,NASDAQ,Biotechnology
132,AFT US,2019-01-02,140774.0,14.39,13.7856,0.0918548162512,224.1,827.79242,NYSE,
133,AFTY US,2019-01-02,3056.0,13.11,16.8896,0.128306245392,9.91,591.5431025,ARCA,
134,AGCO US,2019-01-02,463621.0,55.67,34.9184,1.0245419817,4358.08,159.158817,NYSE,Machinery-Diversified
135,AGD US,2019-01-02,113625.0,8.51,23.9552,0.373537291398,106.8,713.646969,NYSE,
136,AGEN US,2019-01-02,1633230.0,2.38,105.9904,1.90790092297,285.59,3070.531348,NASDAQ,Biotechnology
137,AGE US,2019-01-02,166624.0,2.99,144.9984,0.228652182851,107.13,868.16057,AMEX,Biotechnology
138,AGFS US,2019-01-02,109278.0,3.79,57.4912,0.95773812041,193.32,336.941905,NASDAQ,Chemicals
139,AGGE US,2019-01-02,23811.0,18.61,6.3232,-0.0046720675926,64.2,393.360079,ARCA,
140,AGGP US,2019-01-02,56939.0,18.91,4.5888,0.00638983020618,170.19,403.293046,ARCA,
141,AGG US,2019-01-02,7016521.0,106.49,2.176,-0.048359319501,57195.78,4301.527,ARCA,
142,AGGY US,2019-01-02,79675.0,48.22,2.8032,-0.0151523380407,371.29,1298.3654735,ARCA,
143,AGIO US,2019-01-02,459400.0,46.11,67.9616,1.60225061249,2682.62,154.95599,NASDAQ,Pharmaceuticals
144,AGI US,2019-01-02,2631524.0,3.6,55.712,0.200252170426,1408.49,6995.9356985,NYSE,Mining
145,AGLE US,2019-01-02,129198.0,7.49,89.2736,0.909486553775,179.48,238.802215,NASDAQ,Pharmaceuticals
146,AGM/A US,2019-01-02,120.0,56.99,42.4832,0.313376606635,640.39,112.72763225,NYSE,Diversified Finan Serv
147,AGMH US,2019-01-02,1413.0,26.66,144.6784,0.44627611659,885.54,164.4281055,NASDAQ,Diversified Finan Serv
148,AGM US,2019-01-02,46330.0,60.44,54.1632,0.565760173845,640.39,152.793176,NYSE,Diversified Finan Serv
149,AGNC US,2019-01-02,5008677.0,17.54,16.4032,0.333764435086,9259.88,4715.216486,NASDAQ,REITS
150,AGND US,2019-01-02,6407.0,42.505,10.1184,0.0171480206001,42.51,392.98512,NASDAQ,
151,AGN US,2019-01-02,2938118.0,133.66,33.5168,1.04716288728,45081.64,176.1406085,NYSE,Pharmaceuticals
152,AGO US,2019-01-02,663680.0,38.28,26.528,0.74444924702,4044.95,201.9191265,NYSE,Insurance
153,AGQ US,2019-01-02,142679.0,26.37,21.9264,0.150722361577,204.28,933.5210525,ARCA,
154,AGRO US,2019-01-02,270644.0,6.96,35.424,0.55299785586,811.23,546.770141,NYSE,Agriculture
155,AGR US,2019-01-02,289692.0,50.09,22.2016,0.378162812991,15478.07,151.445714,NYSE,Electric
156,AGRX US,2019-01-02,298495.0,0.5759,114.5984,0.623464992175,19.8,1445.4367335,NASDAQ,Pharmaceuticals
157,AGS US,2019-01-02,163323.0,23.0,53.216,1.05445511651,812.03,168.0031755,NYSE,Computers
158,AGTC US,2019-01-02,234643.0,2.49,92.4928,0.859626703273,45.15,423.8059125,NASDAQ,Biotechnology
159,AGT US,2019-01-02,2899.0,20.1195,29.6576,0.22560289309,19.11,605.7030105,BATS,
160,AG US,2019-01-02,3295843.0,5.89,51.84,0.354718663591,1140.69,4056.842839,NYSE,Mining
161,AGX US,2019-01-02,120140.0,37.84,39.5008,0.716378674431,589.2,146.9466395,NYSE,Engineering&Construction
162,AGYS US,2019-01-02,29858.0,14.34,59.072,0.437779224438,337.4,216.195573,NASDAQ,Computers
163,AGZD US,2019-01-02,15604.0,47.25,7.04,-0.0341965932571,80.32,210.5590435,NASDAQ,
164,AGZ US,2019-01-02,30652.0,112.13,2.0992,-0.0178805086404,498.98,723.0358365,ARCA,
165,AHC US,2019-01-02,53171.0,3.37,59.1488,0.14282978862,73.17,529.8774605,NYSE,Media
166,AHH US,2019-01-02,240119.0,14.06,27.7248,0.500541219296,697.77,276.5382835,NYSE,REITS
167,AHL US,2019-01-02,681288.0,41.99,6.3232,0.0800852455059,2506.75,733.1788385,NYSE,Insurance
168,AHPI US,2019-01-02,6008.0,2.0,76.8832,0.369462772457,8.03,944.8763775,NASDAQ,Healthcare-Products
169,AHT US,2019-01-02,717952.0,4.0,47.04,1.00651260867,404.15,1298.9039085,NYSE,REITS
170,AIA US,2019-01-02,146290.0,55.3,16.0384,0.549004668659,951.16,413.6187635,NASDAQ,
171,AIEQ US,2019-01-02,102940.0,21.82,24.3712,0.835579583595,133.65,550.4224885,ARCA,
172,AIF US,2019-01-02,148942.0,13.77,15.4304,0.158165344679,199.17,682.6420145,NYSE,
173,AIG US,2019-01-02,5969646.0,39.41,36.8832,1.13452239958,34864.0,405.4293505,NYSE,Insurance
174,AIHS US,2019-01-02,28125.0,3.81,82.8928,0.095436834997,98.6,765.8653685,NASDAQ,Internet
175,AIIQ US,2019-01-02,1762.0,20.95,15.7056,0.0603391317089,3.14,990.502051,ARCA,
176,AIMC US,2019-01-02,489105.0,25.15,43.1488,1.29044711489,1620.68,186.3099275,NASDAQ,Auto Parts&Equipment
177,AIMT US,2019-01-02,702246.0,23.92,72.6336,1.25073116839,1404.84,242.820551,NASDAQ,Pharmaceuticals
178,AINC US,2019-01-02,7694.0,51.9,98.8736,0.174818284211,124.08,174.112311,AMEX,Diversified Finan Serv
179,AIN US,2019-01-02,72552.0,62.43,37.0752,1.04100922957,2010.25,129.840617,NYSE,Machinery-Diversified
180,AINV US,2019-01-02,944023.0,12.4,31.4176,0.637121461744,874.51,564.305987,NASDAQ,Investment Companies
181,AIPT US,2019-01-02,38239.0,0.6138,133.856,0.611897180837,7.97,2140.6861085,NASDAQ,Biotechnology
